,indexes
0,.ds-datahub_usage_event-000001
1,.tasks
2,assertion_assertionruneventaspect_v1
3,assertionindex_v2
4,chart_chartusagestatisticsaspect_v1
5,chartindex_v2
6,containerindex_v2
7,corpgroupindex_v2
8,corpuserindex_v2
9,dashboard_dashboardusagestatisticsaspect_v1
10,dashboardindex_v2
11,dataflowindex_v2
12,datahubaccesstokenindex_v2
13,datahubexecutionrequestindex_v2
14,datahubingestionsourceindex_v2
15,datahubpolicyindex_v2
16,datahubretentionindex_v2
17,datahubroleindex_v2
18,datahubsecretindex_v2
19,datahubstepstateindex_v2
20,datahubupgradeindex_v2
21,datahubviewindex_v2
22,datajob_datahubingestioncheckpointaspect_v1
23,datajob_datahubingestionrunsummaryaspect_v1
24,datajobindex_v2
25,dataplatformindex_v2
26,dataplatforminstanceindex_v2
27,dataprocessindex_v2
28,dataprocessinstance_dataprocessinstanceruneventaspect_v1
29,dataprocessinstanceindex_v2
30,dataproductindex_v2
31,dataset_datasetprofileaspect_v1
32,dataset_datasetusagestatisticsaspect_v1
33,dataset_operationaspect_v1
34,datasetindex_v2_1691989864363
35,domainindex_v2
36,globalsettingsindex_v2
37,glossarynodeindex_v2
38,glossarytermindex_v2
39,graph_service_v1
40,invitetokenindex_v2
41,mlfeatureindex_v2
42,mlfeaturetableindex_v2
43,mlmodeldeploymentindex_v2
44,mlmodelgroupindex_v2
45,mlmodelindex_v2
46,mlprimarykeyindex_v2
47,notebookindex_v2
48,ownershiptypeindex_v2
49,postindex_v2
50,queryindex_v2
51,roleindex_v2
52,schemafieldindex_v2
53,system_metadata_service_v1
54,tagindex_v2
55,telemetryindex_v2
56,testindex_v2
